[2026-04-21 09:19:41] INFO 🚀 v4 启动: 5秒监测+移动止盈
[2026-04-21 09:19:41] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:19:41] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:42] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:43] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:44] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:46] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:47] INFO ✅ NAORISUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:57] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:19:57] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:19:58] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:00] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:01] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:02] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:04] INFO ✅ NAORISUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:14] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:20:15] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:16] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:17] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:18] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:19] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:20] INFO ✅ NAORISUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:30] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:20:31] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:33] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:35] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:36] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:38] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:39] INFO ✅ NAORISUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:51] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:20:51] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:52] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:53] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:54] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:56] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:20:57] INFO ✅ NAORISUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:21:07] INFO [监测] DB1:10个 | 持仓:6个
[2026-04-21 09:21:08] INFO ✅ SCRTUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:21:09] INFO ✅ PRLUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:21:10] INFO ✅ BASEDUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:21:11] INFO ✅ GUNUSDT 杠杆校验OK: 10x/isolated
[2026-04-21 09:21:12] INFO ✅ TRADOORUSDT 杠杆校验OK: 10x/isolated
