[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:21] 移动止盈v2启动
[2026-04-21 01:29:21] 参数: 激活>8.0% | 回撤>4.0% | 止损>9.0% | 间隔5秒
[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:22] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.55%
[2026-04-21 01:29:27] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.55%
[2026-04-21 01:29:33] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.55%
[2026-04-21 01:29:39] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.44%
[2026-04-21 01:29:45] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.44%
[2026-04-21 01:29:50] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.44%
[2026-04-21 01:29:56] 📈 NAORISUSDT 新峰值: $0.061960
[2026-04-21 01:29:56] 监控中: 2个 | SCRTUSDT: ⏳-1.41% | NAORISUSDT: ⏳+0.85%
[2026-04-21 01:30:02] 📈 SCRTUSDT 新峰值: $0.112100
[2026-04-21 01:30:02] 📈 NAORISUSDT 新峰值: $0.062010
[2026-04-21 01:30:02] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:30:08] 📈 NAORISUSDT 新峰值: $0.062040
[2026-04-21 01:30:08] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:30:14] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:30:19] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:30:25] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:30:31] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:30:37] 📈 NAORISUSDT 新峰值: $0.062320
[2026-04-21 01:30:37] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+1.43%
[2026-04-21 01:30:43] 📈 SCRTUSDT 新峰值: $0.112200
[2026-04-21 01:30:43] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+1.27%
[2026-04-21 01:30:49] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+1.27%
[2026-04-21 01:30:54] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+1.27%
[2026-04-21 01:31:00] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:31:06] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:31:12] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.62%
[2026-04-21 01:31:18] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.46%
[2026-04-21 01:31:23] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.73%
[2026-04-21 01:31:29] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.73%
[2026-04-21 01:31:35] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:31:41] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.28%
[2026-04-21 01:31:46] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.18%
[2026-04-21 01:31:52] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.24%
[2026-04-21 01:31:58] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:04] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:10] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:15] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:21] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:27] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:32:33] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.62%
[2026-04-21 01:32:38] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.62%
[2026-04-21 01:32:44] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.62%
[2026-04-21 01:32:50] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:32:56] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:33:02] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:33:08] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:33:14] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.52%
[2026-04-21 01:33:20] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:26] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:32] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:38] 监控中: 2个 | SCRTUSDT: ⏳-1.50% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:43] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:33:49] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:55] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:02] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:07] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:13] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:19] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:25] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:31] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:37] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:43] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.08%
[2026-04-21 01:34:49] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.08%
[2026-04-21 01:34:55] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.13%
[2026-04-21 01:35:01] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.11%
[2026-04-21 01:35:07] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.11%
[2026-04-21 01:35:12] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
[2026-04-21 01:35:18] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
